site,trt,plot,rep,n,c,delta.n,delta.c,CN
AL,U,1,1,2.142591336,48.89709235,0.922210013,-29.11913911,22.82147395
AL,U,1,2,1.83863638,46.04298556,0.285395757,-28.55665299,25.04192023
AL,U,1,3,1.789628995,47.25223683,-0.39097921,-29.82506239,26.40337017
AL,U,1,4,2.688380146,47.0743442,1.326799464,-29.05193983,17.51030049
AL,U,1,5,2.408338786,48.95439731,0.907069491,-26.80630723,20.32703937
AL,U,2,1,2.303809966,46.55886657,0.294090083,-29.81916907,20.20950827
AL,U,2,2,1.620362836,47.05877048,-2.372980387,-28.58252022,29.04211911
AL,U,2,3,2.094755882,47.51626795,-0.296637165,-30.48138193,22.68343932
AL,U,2,4,1.652981782,45.7318599,0.814030848,-29.43461146,27.66628187
AL,U,2,5,1.820177486,43.73557344,0.498074833,-28.54601828,24.02819163
AL,U,3,1,2.754404065,48.57645618,2.122314433,-28.18271108,17.63592234
AL,U,3,2,2.568032553,45.20765334,1.051120964,-29.76148226,17.60400322
AL,U,3,3,1.853115914,47.05725485,-0.123864976,-30.25615567,25.39358412
AL,U,3,4,2.206653472,45.20894778,1.895025125,-29.94656265,20.48756108
AL,U,3,5,2.033913746,47.02255553,-0.662454792,-29.35446088,23.11924762
AL,U,4,1,2.250592799,46.25896953,0.752364906,-29.10738431,20.5541267
AL,U,4,2,2.608242025,47.65352693,0.838846823,-28.01441954,18.27036236
AL,U,4,3,2.178382951,47.03540359,1.12434851,-29.8741016,21.59188933
AL,U,4,4,2.400908494,46.73075754,0.581466436,-29.38845733,19.46378117
AL,U,4,5,2.549581255,46.27896294,1.391101019,-30.41054713,18.15159366
AL,T,1,1,2.019494385,47.63391431,-1.827312402,-29.6121923,23.58704964
AL,T,1,2,1.601853565,46.86021973,-1.392625513,-28.99666219,29.2537475
AL,T,1,3,1.68356711,48.88040533,1.131357795,-28.14440368,29.03383241
AL,T,1,4,2.030171908,47.86775733,-0.652915086,-27.59094321,23.57817934
AL,T,1,5,2.132160383,47.66204697,0.703443236,-28.64454057,22.35387514
AL,T,2,1,1.661815481,46.88693733,-0.792719596,-28.52604057,28.21428604
AL,T,2,2,,,,,
AL,T,2,3,2.373796999,49.59925451,-0.684458547,-26.86882293,20.89448025
AL,T,2,4,1.55135727,48.08190874,-0.670221394,-27.454347,30.99344662
AL,T,2,5,1.831230922,48.59356782,-1.182085097,-26.08522306,26.53601315
AL,T,3,1,2.352036901,47.74304837,0.493279421,-27.62511784,20.29859665
AL,T,3,2,2.135458683,46.46873627,0.544102069,-27.93517977,21.76054102
AL,T,3,3,1.854018138,48.09915132,0.582423192,-28.13871982,25.94319351
AL,T,3,4,2.637311238,48.20536699,2.009432019,-27.7383715,18.27822454
AL,T,3,5,2.347693658,46.56088674,1.42137656,-27.52119949,19.83260745
AL,T,4,1,2.079595462,50.09813065,0.170723305,-28.521215,24.09032505
AL,T,4,2,1.71406765,47.52529076,0.735293106,-27.10200721,27.72661322
AL,T,4,3,2.156213872,49.47203975,1.391806041,-28.94068993,22.94393909
AL,T,4,4,1.751376831,49.33271649,1.391441066,-27.64901746,28.16796227
AL,T,4,5,1.884212131,47.08787908,0.781092656,-28.33595597,24.99075253
AL,S,1,1,1.784339884,43.64935172,-3.538903626,-29.96702744,24.46246487
AL,S,1,2,1.601063513,46.32914185,0.487920064,-29.4540467,28.9364797
AL,S,1,3,1.770012856,45.59991444,-3.81899323,-27.68628661,25.76247641
AL,S,1,4,1.66727546,46.67457061,-3.635745384,-28.18804853,27.99451664
AL,S,1,5,1.531079175,46.00286973,-2.170182301,-28.64459706,30.04604235
AL,S,2,1,1.535727497,46.33021284,-2.276324734,-28.38860346,30.16825116
AL,S,2,2,1.46914705,46.59736959,-4.021068241,-28.95949092,31.71729446
AL,S,2,3,1.489802452,47.45623624,-2.118835869,-27.98416879,31.85404627
AL,S,2,4,1.742529052,46.32389131,-3.470746433,-28.2590373,26.58428636
AL,S,2,5,1.783200608,47.02149415,-0.850120108,-27.29787967,26.36915552
AL,S,3,1,1.75906546,47.63862959,-2.440979846,-27.51432535,27.0817833
AL,S,3,2,1.908735396,45.44590987,-3.158139114,-29.04015731,23.80943423
AL,S,3,3,2.181408883,44.76976003,0.72993951,-30.77267488,20.52332343
AL,S,3,4,1.780272872,47.48352782,-2.809816387,-29.29748918,26.67205043
AL,S,3,5,1.572560984,45.8680513,-1.798540009,-30.24888409,29.16774088
AL,S,4,1,1.760818178,47.39607203,-0.362649106,-28.01116719,26.91707334
AL,S,4,2,1.755732122,47.36191621,-0.575361225,-29.10309203,26.97559361
AL,S,4,3,1.789989047,45.37941313,0.539593229,-29.34530924,25.35178257
AL,S,4,4,2.168014928,46.33486872,-1.376830873,-28.95500144,21.37202476
AL,S,4,5,2.447126668,47.03875894,2.759008856,-28.73969362,19.22203683
HE,U,5,1,1.849070318,41.85447234,-1.052962574,-31.43608199,22.6354141
HE,U,5,2,2.128356547,42.51676759,1.167042405,-28.54968638,19.97633698
HE,U,5,3,1.701511747,48.03084128,-3.285931944,-29.67779218,28.22833364
HE,U,5,4,1.991416005,43.90028525,1.203883956,-29.7145049,22.04475867
HE,U,5,5,1.616996956,44.60031523,-0.384701886,-30.37128782,27.58218874
HE,U,6,1,1.431829301,44.50417744,0.359868131,-30.26563349,31.08204128
HE,U,6,2,2.074648222,45.1597603,1.196892135,-30.55774729,21.76743017
HE,U,6,3,1.989414149,42.08554464,0.340349391,-29.56166936,21.1547428
HE,U,6,4,1.562921162,43.38237329,-1.112461116,-30.91098689,27.75723712
HE,U,6,5,1.709518647,44.0548578,-0.905208229,-30.09153346,25.7703289
HE,U,7,1,3.267103112,49.55386025,1.191330573,-28.99696784,15.16752259
HE,U,7,2,1.727560253,46.28368016,1.457994599,-29.03155193,26.79135508
HE,U,7,3,2.00045088,44.91143908,2.118029108,-30.11832608,22.45065826
HE,U,7,4,,,,,
HE,U,7,5,1.877573144,45.23050022,1.063874978,-30.15864452,24.08987387
HE,U,8,1,2.427843425,45.06981326,1.800313444,-29.08823636,18.56372318
HE,U,8,2,1.875157985,45.47748678,0.704828393,-28.24822182,24.25261612
HE,U,8,3,1.879562592,46.97299887,1.347466296,-29.02337568,24.9914523
HE,U,8,4,2.844548487,44.71981281,0.433830388,-30.35218699,15.72123415
HE,U,8,5,2.124382902,46.72199102,0.472560357,-30.13225719,21.99320611
HE,T,5,1,1.670708736,47.69566768,-1.186429008,-27.97736065,28.54816441
HE,T,5,2,1.435220179,46.51289533,-1.012045286,-29.02817157,32.40819493
HE,T,5,3,1.577783263,45.97148032,-1.414766707,-28.83809125,29.13675243
HE,T,5,4,1.790825317,45.85902043,-1.266945752,-29.27970084,25.60775749
HE,T,5,5,1.881070771,46.93628362,-2.622980761,-28.99407133,24.95189673
HE,T,6,1,1.637712387,45.67959157,-3.482043903,-27.58886057,27.89231609
HE,T,6,2,1.60046289,47.47875889,-1.05750517,-27.55175724,29.66564185
HE,T,6,3,1.773950929,48.29319223,-3.467638427,-29.06768443,27.22352205
HE,T,6,4,1.675276547,46.93623402,-3.541403792,-28.15788119,28.01700657
HE,T,6,5,1.540187146,47.72174174,-0.465212511,-27.92113508,30.98437866
HE,T,7,1,1.628703992,45.17770563,-2.521400129,-27.73080901,27.73843857
HE,T,7,2,1.900105045,48.66341002,0.152802094,-28.2936602,25.61090512
HE,T,7,3,1.772115842,48.59462224,-1.043797071,-28.64526927,27.42180905
HE,T,7,4,1.551548914,46.85522599,-1.664619362,-27.37542539,30.19900022
HE,T,7,5,1.709476496,49.21266125,-1.583313814,-27.75980251,28.78814735
HE,T,8,1,1.565342907,48.19976888,-1.36630342,-28.05444032,30.79182757
HE,T,8,2,1.346953857,46.82046922,-2.174679851,-28.34198058,34.76026218
HE,T,8,3,1.634146089,48.220161,-1.830902439,-28.19836118,29.50786428
HE,T,8,4,1.56587266,47.71124514,-4.070946688,-28.81786969,30.46942855
HE,T,8,5,2.823839111,70.01952985,-0.396683843,-29.55387288,24.79586375
HE,S,5,1,1.659768119,48.65330239,-2.216239949,-28.48141615,29.31331301
HE,S,5,2,1.998318949,47.36216412,-2.035178194,-27.7305182,23.70100336
