YEAR,SERIES,BAI,TREAT,SITE,PLOT,REP
2000,als1.1,NA,sub,ALY,1,1
2000,als1.2,NA,sub,ALY,1,4
2000,als1.3,NA,sub,ALY,2,1
2000,als1.4,NA,sub,ALY,2,4
2000,als1.5,NA,sub,ALY,3,3
2000,als2.1,NA,sub,ALY,4,1
2000,als2.2,NA,sub,ALY,4,3
2000,als2.3,NA,fire,ALY,1,1
2000,als2.4,NA,fire,ALY,1,4
2000,als2.5,NA,fire,ALY,2,2
2000,als3.2,NA,fire,ALY,2,5
2000,als3.1,NA,fire,ALY,3,3
2000,als3.3,NA,fire,ALY,3,4
2000,als3.4,NA,fire,ALY,4,1
2000,als3.5,NA,fire,ALY,4,5
2000,als4.1,NA,nothing,ALY,1,3
2000,als4.2,NA,nothing,ALY,1,5
2000,als4.3,NA,nothing,ALY,2,1
2000,als4.4,NA,nothing,ALY,2,4
2000,alt1.1,NA,nothing,ALY,2,5
2000,alt1.3,NA,nothing,ALY,3,2
2000,alt1.4,NA,nothing,ALY,3,4
2000,alt1.5,NA,nothing,ALY,4,5
2000,alt2.2,NA,sub,HEATHER,5,3
2000,alt2.4,NA,sub,HEATHER,6,2
2000,alt2.5,NA,sub,HEATHER,7,5
2000,alt3.1,NA,sub,HEATHER,8,5
2000,alt3.3,NA,fire,HEATHER,7,2
2000,alt3.2,NA,fire,HEATHER,5,2
2000,alt3.4,NA,fire,HEATHER,5,1
2000,alt3.5,NA,fire,HEATHER,6,3
2000,alt4.3,NA,fire,HEATHER,8,3
2000,alt4.1,NA,nothing,HEATHER,5,4
2000,alt4.2,NA,nothing,HEATHER,6,2
2000,alt4.5,NA,nothing,HEATHER,7,1
2000,alu1.1,NA,nothing,HEATHER,7,4
2000,alu1.3,NA,nothing,HEATHER,7,5
2000,alu1.4,NA,nothing,HEATHER,8,2
2000,alu1.5,NA,nothing,HEATHER,8,4
2000,alu2.1,NA,sub,INGRID,13,1
2000,alu2.3,NA,sub,INGRID,13,4
2000,alu2.4,NA,sub,INGRID,14,4
2000,alu2.5,NA,sub,INGRID,15,3
2000,alu3.1,NA,sub,INGRID,16,1
2000,alu3.2,NA,sub,INGRID,16,5
2000,alu3.3,NA,fire,INGRID,14,2
2000,alu3.4,NA,fire,INGRID,14,4
