C,N,C.N,d15N,d13C,c.stock,n.stock,site,treatment,plot,depth,label,depth,sam.num
31.28435135,1.337819551,23.38458227,1.098125186,-28.73036846,,,SETH,burn,9,5,SE T9,0-5,1
2.053919908,0.150285902,13.66675038,4.972949564,-26.84304825,2621.253214,191.7978404,SETH,burn,9,15,SE T9,15-May,2
2.292421606,0.157592356,14.54652792,5.025346056,-27.02888007,2739.330509,188.3150757,SETH,burn,9,25,SE T9,15-25,3
0.550378439,0.09839125,5.593774233,4.84456655,-24.36652784,788.1577368,140.8990971,SETH,burn,9,35,SE T9,25-35,4
0.542361676,0.098160177,5.525271985,4.711425219,-24.43956466,966.6049152,174.9425032,SETH,burn,9,45,SE T9,35-45,5
0.503324153,0.09649622,5.215998647,4.141162416,-24.32413382,685.5500036,131.4321666,SETH,burn,9,55,SE T9,45-55,6
0.495213914,0.094618297,5.233807093,4.226058922,-23.53299062,286.6272713,54.76458437,SETH,burn,9,65,SE T9,55-65,7
,,,,,,,SETH,burn,9,75,,,
0.60880106,0.096483718,6.309883912,4.56268536,-19.62762585,943.4639663,149.521604,SETH,burn,9,85,SE T9,75-85,8
,,,,,,,SETH,burn,9,95,SE T9,85-95,9
,,,,,,,SETH,burn,9,105,SE T9,95-105,10
,,,,,,,SETH,burn,9,115,SE T9,105-115,11
,,,,,,,SETH,burn,9,125,SE T9,115-125,12
35.85599181,1.39096966,25.77769512,0.253454683,-29.41543054,2245.526863,87.11123526,SETH,burn,10,5,SE T10,0-5,13
1.195733135,0.048572556,24.61746372,2.213049415,-26.42448472,1774.971866,72.10214208,SETH,burn,10,15,SE T10,15-May,14
0.682683301,0.093886994,7.271329839,4.878130433,-25.39000167,971.1033267,133.5523685,SETH,burn,10,25,SE T10,15-25,15
0.649149248,0.09122214,7.116137026,5.002659885,-25.4050652,907.2984045,127.4987264,SETH,burn,10,35,SE T10,25-35,16
0.581289326,0.09703384,5.990583553,4.489640045,-20.94017417,888.5735258,148.3283755,SETH,burn,10,45,SE T10,35-45,17
0.621669967,0.095142026,6.534125803,4.134323469,-19.48688928,827.0065565,126.5672842,SETH,burn,10,55,SE T10,45-48,18
0.58392644,0.098057003,5.954969274,4.350066485,-19.97432545,787.5462036,132.2502548,SETH,burn,10,65,SE T10,48-58,19
0.66485986,0.095153632,6.987225249,4.558306914,-18.87003391,982.5171343,140.6162098,SETH,burn,10,75,SE T10,58-68,20
,,,,,,,SETH,burn,10,85,SE T10,68-78,21
,,,,,,,SETH,burn,10,95,SE T10,88-98,22
,,,,,,,SETH,burn,10,105,SE T10,98-108,23
,,,,,,,SETH,burn,10,115,SE T10,108-118,24
4.41256435,0.357231383,12.35211843,4.423196925,-28.28111242,1491.571399,120.7542989,SETH,sub,9,5,SE S9,0-5,25
1.227257351,0.122393137,10.02717457,3.721783416,-26.49363398,1943.636996,193.8369566,SETH,sub,9,15,SE S9,15-May,26
0.987800418,0.133068572,7.423243544,5.343427456,-25.31389069,1421.209148,191.4539302,SETH,sub,9,25,SE S9,15-25,27
