label,treatment,plot,depth1,NH4,NO3,DIN,DIN.area,N4/N3,NH4.a,NO3.a,NO/tot
SE T9,fire,9,5,1.171,4.295,5.466,10.801,0.272642608,2.313896,8.48692,0.785753171
SE T9,fire,9,15,9.895,4.18,14.075,121.636,2.36722488,85.51259,36.12356,0.296980828
SE T9,fire,9,25,6.4145,1.895,8.3095,51.27,3.384960422,39.577465,11.69215,0.228050517
SE T9,fire,9,35,2.73,2.565,5.295,53.585,1.064327485,27.6276,25.9578,0.48442288
SE T9,fire,9,45,1.169,1.625,2.794,40.161,0.719384615,16.803206,23.35775,0.581602799
SE T9,fire,9,55,0.937,2.035,2.972,23.568,0.46044226,7.43041,16.13755,0.684722929
SE T9,fire,9,65,0.141,2.29,2.431,20.124,0.061572052,1.167198,18.95662,0.941990658
SE T9,fire,9,75,,,,,,,,
SE T9,fire,9,85,3.4705,4.005,7.4755,56.126,0.866541823,26.056514,30.06954,0.535750633
SE T9,fire,9,95,,,,,,,,
SE T9,fire,9,105,,,,,,,,
SE T9,fire,9,115,,,,,,,,
SE T9,fire,9,125,,,,,,,,
SE T10,fire,10,5,0,4.41,4.41,4.578,0,0,4.57758,0.999908257
SE T10,fire,10,15,0.402,1.425,1.827,11.704,0.282105263,2.575212,9.12855,0.779951299
SE T10,fire,10,25,0,1.385,1.385,12.404,0,0,12.40406,1.000004837
SE T10,fire,10,35,0,1.67,1.67,14.923,0,0,14.92312,1.000008041
SE T10,fire,10,45,0,3.745,3.745,31.211,0,0,31.21083,0.999994553
SE T10,fire,10,55,0,1.825,1.825,11.016,0,0,11.0157,0.999972767
SE T10,fire,10,65,0.4625,3.38,3.8425,32.884,0.13683432,3.958075,28.92604,0.87963873
SE T10,fire,10,75,0,1.44,1.44,13.196,0,0,13.19616,1.000012125
SE T10,fire,10,85,,,,,,,,
SE T10,fire,10,95,,,,,,,,
SE T10,fire,10,105,,,,,,,,
SE T10,fire,10,115,,,,,,,,
SE S9,sub,9,5,14.924,1.46,16.384,96.01,10.22191781,87.45464,8.5556,0.089111551
SE S9,sub,9,15,6.603,2.87,9.473,71.805,2.300696864,50.05074,21.7546,0.30296776
SE S9,sub,9,25,1.698,2.23,3.928,36.915,0.761434978,15.957804,20.95754,0.567724231
SE S9,sub,9,35,2.2475,3.085,5.3325,42.681,0.728525122,17.98899,24.69234,0.578532368
SE S9,sub,9,45,3.364,3.59,6.954,70.527,0.937047354,34.117688,36.40978,0.516253066
SE S9,sub,9,55,0.308,1.815,2.123,17.961,0.16969697,2.60568,15.3549,0.854902288
SE S9,sub,9,65,1.6625,3.7,5.3625,45.292,0.449324324,14.041475,31.2502,0.689971739
SE S9,sub,9,75,,,,,,,,
SE S9,sub,9,85,,,,,,,,
SE S9,sub,9,95,,,,,,,,
SE S9,sub,9,105,,,,,,,,
SE S9,sub,9,115,,,,,,,,
SE S9,sub,9,125,,,,,,,,
SE S12,sub,12,5,3.781,7.325,11.106,18.236,0.516177474,6.208402,12.02765,0.659555275
SE S12,sub,12,15,1.426,0.43,1.856,18.259,3.31627907,14.028988,4.23034,0.231685196
SE S12,sub,12,25,2.405,1.185,3.59,25.755,2.029535865,17.25347,8.50119,0.330079208
SE S12,sub,12,35,0.785,1.715,2.5,19.36,0.457725948,6.07904,13.28096,0.686
SE S12,sub,12,45,2.797,1.68,4.477,34.607,1.664880952,21.62081,12.9864,0.375253561
SE S12,sub,12,55,0.148,1.67,1.818,19.325,0.088622754,1.57324,17.7521,0.918608021
SE S12,sub,12,65,2.957,4.315,7.272,63.717,0.685283893,25.909234,37.80803,0.593374296
SE S12,sub,12,75,0.0805,1.85,1.9305,14.278,0.043513514,0.595378,13.6826,0.958299482
SE S12,sub,12,85,2.853,1.31,4.163,33.729,2.177862595,23.115006,10.61362,0.314673426
SE S12,sub,12,95,,,,,,,,
SE S12,sub,12,105,,,,,,,,
SE S12,sub,12,115,,,,,,,,
SE S12,sub,12,125,,,,,,,,
SE S12,sub,12,135,,,,,,,,
SE U10,nothing,10,5,1.127,0.185,1.312,0.785,6.091891892,0.673946,0.11063,0.140929936
SE U10,nothing,10,15,9.388,1.21,10.598,48.539,7.758677686,42.99704,5.5418,0.114172109
SE U10,nothing,10,25,10.6625,5.34,16.0025,105.136,1.996722846,70.052625,35.0838,0.333699209
SE U10,nothing,10,35,3.4955,0.41,3.9055,200.516,8.525609756,179.465961,21.05022,0.104980251
SE U10,nothing,10,45,2.731,0.43,3.161,85.258,6.351162791,73.660532,11.59796,0.136033686
SE U10,nothing,10,55,5.5595,0.9,6.4595,178.553,6.177222222,153.675699,24.8778,0.139330059
SE U10,nothing,10,65,5.1565,0.825,5.9815,105.861,6.25030303,91.259737,14.60085,0.137924731
SE U10,nothing,10,75,3.918,0.45,4.368,132.927,8.706666667,119.232576,13.6944,0.103021959
SE U10,nothing,10,85,4.794,0.69,5.484,143.429,6.947826087,125.382276,18.04626,0.125820162
SE U10,nothing,10,95,5.7075,0.785,6.4925,209.954,7.270700637,184.569135,25.38533,0.120909009
SE U10,nothing,10,105,5.915,0.9,6.815,164.173,6.572222222,142.49235,21.681,0.13206191
SE U10,nothing,10,115,3.673,0.735,4.408,119.492,4.997278912,99.567684,19.92438,0.166742376
SE U11,nothing,11,5,8.587,4.99,13.577,9.966,1.720841683,6.302858,3.66266,0.367515553
SE U11,nothing,11,15,5.984,1.525,7.509,23.278,3.923934426,18.5504,4.7275,0.203088753
SE U11,nothing,11,25,5.5105,1.535,7.0455,84.18,3.58990228,65.839454,18.34018,0.217868615
SE U11,nothing,11,35,4.3735,0.755,5.1285,56.096,5.792715232,47.837343,8.25819,0.147215309
SE U11,nothing,11,45,3.054,0.44,3.494,23.452,6.940909091,20.498448,2.95328,0.125928705
SE U11,nothing,11,55,4.5265,0.79,5.3165,109.637,5.729746835,93.345483,16.29138,0.148593814
SE U11,nothing,11,65,4.8185,0.575,5.3935,113.986,8.38,101.834179,12.15205,0.106610022
SE U11,nothing,11,75,5.96,0.855,6.815,126.895,6.970760234,110.9752,15.9201,0.125458844
SE U11,nothing,11,85,4.427,0.46,4.887,126.368,9.623913043,114.473366,11.89468,0.094127311
SE U11,nothing,11,95,4.424,0.385,4.809,134.671,11.49090909,123.889696,10.78154,0.080058364
SE U11,nothing,11,105,8.1705,0.87,9.0405,179.418,9.39137931,162.151743,17.26602,0.096233488
SE U11,nothing,11,115,8.215,0.655,8.87,190.989,12.54198473,176.88538,14.10346,0.073844358
SE U11,nothing,11,125,11.5475,0.74,12.2875,305.566,15.60472973,287.16323,18.40232,0.060223716
SE U 12,nothing,12,5,7.7425,0.615,8.3575,6.703,12.58943089,6.209485,0.49323,0.07358347
SE U 12,nothing,12,15,7.464,0.915,8.379,25.388,8.157377049,22.61592,2.77245,0.109203167
SE U 12,nothing,12,25,4.996,0.745,5.741,104.808,6.706040268,91.206976,13.60072,0.129767957
SE U 12,nothing,12,35,3.8205,0.96,4.7805,95.371,3.9796875,76.218975,19.152,0.200815762
SE U 12,nothing,12,45,3.4675,0.545,4.0125,100.072,6.362385321,86.47945,13.5923,0.135825206
SE U 12,nothing,12,55,3.311,0.625,3.936,99.061,5.2976,83.331248,15.73,0.158791048
SE U 12,nothing,12,65,3.3015,0.39,3.6915,92.967,8.465384615,83.144976,9.82176,0.105647811
SE U 12,nothing,12,75,2.666,0.58,3.246,140.987,4.596551724,115.795044,25.19172,0.178681155
SE U 12,nothing,12,85,2.644,0.635,3.279,81.516,4.163779528,65.72984,15.7861,0.19365646
SE U 12,nothing,12,95,0,0.73,0.73,15.975,0,0,15.97532,1.000020031
SE U 12,nothing,12,105,0,0.76,0.76,15.872,0,0,15.87184,0.999989919
SE U 12,nothing,12,115,0,0.795,0.795,20.398,0,0,20.39811,1.000005393
SE U 12,nothing,12,125,0,1.27,1.27,22.154,0,0,22.15388,0.999994583
SE U 12,nothing,12,135,0,0.91,0.91,16.456,0,0,16.45644,1.000026738
