disturb,sam.num,label,treatment,plot,depth.cat,depth0,depth1,moisture,bulk.density,ash
2,1,SE T9,fire,9,0-5,0,5,49.8,0.271413703,26.1
2,2,SE T9,fire,9,15-May,5,15,100.4,1.276219781,33.4
2,3,SE T9,fire,9,15-25,15,25,183.7,1.194950572,35.6
2,4,SE T9,fire,9,25-35,25,35,119,1.43202873,18.9
2,5,SE T9,fire,9,35-45,35,45,149.3,1.782214632,25.3
2,6,SE T9,fire,9,45-55,45,55,100.5,1.362044718,17.4
2,7,SE T9,fire,9,55-65,55,65,42.8,0.578794866,7.3
2,,SE T9,fire,9,55-65,65,75,,,
2,8,SE T9,fire,9,75-85,75,85,132.9,1.549708152,19.8
2,9,SE T9,fire,9,85-95,85,95,123.7,1.376573187,16.9
2,10,SE T9,fire,9,95-105,95,105,133.1,1.375286298,20.4
2,11,SE T9,fire,9,105-115,105,115,91.5,1.337194124,20.5
2,12,SE T9,fire,9,115-125,115,125,67.7,0.966611441,12.7
2,13,SE T10,fire,10,0-5,0,5,12.3,0.062626266,10.8
2,14,SE T10,fire,10,15-May,5,15,97.9,1.48442141,18.6
2,15,SE T10,fire,10,15-25,15,25,130.6,1.422479977,21.7
2,16,SE T10,fire,10,25-35,25,35,128.3,1.397673042,19.7
2,17,SE T10,fire,10,35-45,35,45,125.6,1.528625223,1.1
2,18,SE T10,fire,10,45-48,45,55,29.5,1.330298389,5.5
2,19,SE T10,fire,10,48-58,55,65,111.8,1.348707902,18.5
2,20,SE T10,fire,10,58-68,65,75,133.2,1.477780797,21.2
2,21,SE T10,fire,10,68-78,75,85,164.8,1.665688641,20.1
2,22,SE T10,fire,10,88-98,85,95,132.3,1.513554946,21.9
2,23,SE T10,fire,10,98-108,95,105,107.9,1.246175237,17.9
2,24,SE T10,fire,10,108-118,105,115,91.5,1.216833412,16.6
3,25,SE S9,sub,9,0-5,0,5,89,0.676056497,16.2
3,26,SE S9,sub,9,15-May,5,15,155.3,1.583724061,31.3
3,27,SE S9,sub,9,15-25,15,25,136.1,1.438761437,25.6
3,28,SE S9,sub,9,25-35,25,35,114,1.194194519,18.2
3,29,SE S9,sub,9,35-45,35,45,144.5,1.516964291,28.3
3,30,SE S9,sub,9,45-55,45,55,126.6,1.490390631,21.4
3,31,SE S9,sub,9,55-65,55,65,122.8,1.581007136,20.6
3,32,SE S9,sub,9,65-75,65,75,141.8,1.594519493,30.1
3,33,SE S9,sub,9,75-85,75,85,98.2,0.929453579,17.1
3,34,SE S9,sub,9,85-95,85,95,155.8,1.468200611,28.4
3,35,SE S9,sub,9,95-105,95,105,124.9,1.286602815,22.7
3,36,SE S9,sub,9,105-115,105,115,155.2,1.44731537,23.1
3,37,SE S9,sub,9,115-125,115,125,165,1.377651383,24.3
3,38,SE S12,sub,12,0-5,0,5,120.8,0.205719156,68.7
3,39,SE S12,sub,12,15-May,5,15,150.7,1.166986195,26.1
3,40,SE S12,sub,12,15-25,15,25,127,0.937781479,24.1
3,41,SE S12,sub,12,25-35,25,35,65.6,0.630558459,11.9
3,42,SE S12,sub,12,35-45,35,45,135.2,1.062157596,24.4
3,43,SE S12,sub,12,45-55,45,55,114.9,1.239895872,17.5
3,44,SE S12,sub,12,55-65,55,65,110.2,1.131143375,15.8
3,45,SE S12,sub,12,65-75,65,75,122.2,1.439764721,17.5
3,46,SE S12,sub,12,75-85,75,85,99.7,1.206739142,13
3,47,SE S12,sub,12,85-90,85,95,49,1.154560756,8.2
3,48,SE S12,sub,12,90-100,95,105,123,1.152351954,16.6
3,49,SE S12,sub,12,100-110,105,115,156.1,1.360384988,19.2
3,50,SE S12,sub,12,110-120,115,125,147.6,1.172574912,17.1
3,51,SE S12,sub,12,120-130,125,135,152.8,1.147007806,18
1,52,SE U10,nothing,10,0-5,0,5,7.2,0.046982489,5.3
1,53,SE U10,nothing,10,15-May,5,15,66.7,0.335110018,72.4
1,54,SE U10,nothing,10,15-25,15,25,144.3,1.304975236,29.4
1,55,SE U10,nothing,10,25-35,25,35,182.5,1.477150625,22.7
1,56,SE U10,nothing,10,35-45,35,45,247.4,0.666718287,15.5
1,57,SE U10,nothing,10,45-55,45,55,251.5,0.794967785,19
1,58,SE U10,nothing,10,55-65,55,65,267.9,0.5339599,13.1
1,59,SE U10,nothing,10,65-75,65,75,200,0.76613578,16.4
1,60,SE U10,nothing,10,75-85,75,85,214.2,0.865743386,16.9
1,61,SE U10,nothing,10,85-95,85,95,204.3,1.295679505,29.1
1,62,SE U10,nothing,10,95-105,95,105,208.1,0.840152247,15.2
1,63,SE U10,nothing,10,105-115,105,115,174.2,0.865083257,15.6
1,64,SE U11,nothing,11,0-5,0,5,16.6,0.047755392,9.2
1,65,SE U11,nothing,11,15-May,5,15,98.5,0.153410194,18.1
1,66,SE U11,nothing,11,15-25,15,25,173,1.087986154,28.2
1,67,SE U11,nothing,11,25-35,25,35,245.3,0.252416016,8.7
1,68,SE U11,nothing,11,35-45,35,45,286.7,0.406788589,11.4
1,69,SE U11,nothing,11,45-55,45,55,270.1,0.718077337,12.6
1,70,SE U11,nothing,11,55-65,55,65,234.6,0.689578188,13.8
1,71,SE U11,nothing,11,65-75,65,75,239.2,0.813114908,14
1,72,SE U11,nothing,11,75-85,75,85,241.3,0.791124462,15.8
1,73,SE U11,nothing,11,85-95,85,95,204.4,1.169780751,18.3
1,74,SE U11,nothing,11,95-105,95,105,260.5,0.731072372,15.8
1,75,SE U11,nothing,11,105-115,105,115,271.7,0.800571723,22.6
1,76,SE U11,nothing,11,115-125,115,125,247.5,0.794974508,22.3
1,77,SE U 12,nothing,11,0-5,0,5,5.5,0.046354305,5.8
1,78,SE U 12,nothing,11,15-May,5,15,80.1,0.134494944,44.4
1,79,SE U 12,nothing,12,15-25,15,25,240.6,0.592154405,10.9
1,80,SE U 12,nothing,12,25-35,25,35,224.4,0.567661455,8.6
1,81,SE U 12,nothing,12,35-45,35,45,228.4,0.734612973,14.4
1,82,SE U 12,nothing,12,45-55,45,55,219.5,0.924835574,17.9
1,83,SE U 12,nothing,12,55-65,55,65,212.1,0.803957711,18.5
1,84,SE U 12,nothing,12,65-75,65,75,184.4,1.047067774,16.8
1,85,SE U 12,nothing,12,75-85,75,85,223.1,1.057957239,17.7
1,86,SE U 12,nothing,12,85-95,85,95,202.2,0.882690661,17.1
1,87,SE U 12,nothing,12,95-105,95,105,238.3,0.673931738,16.2
1,88,SE U 12,nothing,12,105-115,105,115,127.1,0.831361953,15.9
1,89,SE U 12,nothing,12,115-125,115,125,475.2,0.550692018,18.6
1,90,SE U 12,nothing,12,125-130,125,135,82.9,0.826622631,7.2
